ablation_id	component_family	scenario	setting_id	repeat	variant_label	n_cells	n_genes	false_signal	false_call	ari	nmi	rare_f1	rare_precision	rare_recall	power_pass	config_whiten	config_pc_rule	config_hvg_rule	config_embedding_rule	config_rare_state_guard	config_min_embedding_pcs	config_n_permutations	config_tw_alpha	analysis_status	no_call_reason	n_signal_pcs	n_embedding_pcs	cluster_n	selected_hvg_n	strict_signal_pcs	accepted_embedding_pcs	near_edge_candidate_pcs	embedding_pc_stability_min	embedding_pc_stability_median	null_false_positive_rate	selected_edge	mp_edge	tw_edge	runtime_seconds	peak_memory_mb	prevalence	effect_size	batch_states	batch_markers_per_state	batch_dropout_rate	batch_ari	batch_nmi	batch_aware
hvg_rule_dispersion	hvg_selection	batch_effect	planted_states_with_batch_effect	5	dispersion HVG	180	360			0.8219480980257989	0.7711539456444136					biwhiten	mp_tw	dispersion	adaptive_near_edge	adaptive_binary_split	0	0	0.01	ok		4	9	4	360	4	9	6	0.7503758066821737	0.8801767325403461		5.5356175979087885	5.3423008103088945	5.5356175979087885	2.6170528000220656	7.407600402832031			3.0	12.0	0.1	0.0029800877931528864	0.01157154546182988	False
hvg_rule_spectral_plateau	hvg_selection	batch_effect	planted_states_with_batch_effect	5	spectral plateau HVG	180	360			0.578702743623921	0.5946060246802343					biwhiten	mp_tw	spectral_plateau	adaptive_near_edge	adaptive_binary_split	0	0	0.01	ok		4	5	3	120	4	5	4	0.834607093488929	1.0		2.952512607079146	2.8051174737059	2.952512607079146	2.5817279999901075	5.938176155090332			3.0	12.0	0.1	0.0641681564963596	0.056999809140162325	False
embedding_strict_signal	adaptive_embedding	batch_effect	planted_states_with_batch_effect	5	strict signal embedding	180	360			0.8550869316654548	0.8249673727425171					biwhiten	mp_tw	spectral_stability	strict_signal	adaptive_binary_split	0	0	0.01	ok		4	4	4	360	4	4	6	1.0	1.0		5.5356175979087885	5.3423008103088945	5.5356175979087885	1.9753112999896985	6.716325759887695			3.0	12.0	0.1	0.004829096153323158	0.012964325778671107	False
rare_state_guard_off	rare_state_guard	batch_effect	planted_states_with_batch_effect	5	rare-state guard off	180	360			0.853844835050247	0.8227450087383035					biwhiten	mp_tw	spectral_stability	adaptive_near_edge	off	0	0	0.01	ok		4	7	3	360	4	7	6	0.7549509635631921	1.0		5.5356175979087885	5.3423008103088945	5.5356175979087885	1.104985799989663	7.191251754760742			3.0	12.0	0.1	0.001526471309446682	0.00781210907920274	False
force_min_embedding_pcs_10	no_call_contract	batch_effect	planted_states_with_batch_effect	5	force minimum 10 embedding PCs	180	360			0.7657867789282057	0.7369421934227706					biwhiten	mp_tw	spectral_stability	adaptive_near_edge	adaptive_binary_split	10	0	0.01	ok		4	10	4	360	4	10	6	0.5371876137224461	0.785915793006556		5.5356175979087885	5.3423008103088945	5.5356175979087885	2.4418576000025496	7.522712707519531			3.0	12.0	0.1	0.006495530778511656	0.02864947838878147	False
whiten_zscore	biwhitening	batch_effect	planted_states_with_batch_effect	5	z-score whitening	180	360			0.5541921924226341	0.5382537793098271					zscore	mp_tw	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	0	0.01	ok		10	10	13	360	10	10	12	1.0	1.0		5.065702551966322	4.88879630312199	5.065702551966322	2.6027219999814406	8.437870979309082			3.0	12.0	0.1	0.023273900494806033	0.07849148350290004	False
batch_residualized	batch_residualization	batch_effect	planted_states_with_batch_effect	5	batch residualized fit	180	360			0.902511243397254	0.8704100674085202					biwhiten	mp_tw	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	0	0.01	ok		3	4	4	360	3	4	7	0.8445922288291983	1.0		5.731003610004951	5.530863483268581	5.731003610004951	2.009964500000933	7.557788848876953			3.0	12.0	0.1	0.0018462964569927267	0.02352406442227136	True
default_v3_3	reference	realistic_null	library_multinomial_null	6	default RMTGuard v3.3	180	360	0.0	0.0							biwhiten	mp_tw	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	1	0	1	360	1	0	0				5.858114507321782	5.653535369056234	5.858114507321782	0.1490332999965176	4.247269630432129								False
pc_rule_mp_only	pc_calibration	realistic_null	library_multinomial_null	6	MP edge only	180	360	0.0	0.0							biwhiten	mp	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	1	0	1	360	1	0	0				5.653535369056234	5.653535369056234	5.858114507321782	0.1464787000149954	3.636127471923828								False
pc_rule_mp_tw_permutation	pc_calibration	realistic_null	library_multinomial_null	6	MP + TW + permutation	180	360	0.0	0.0							biwhiten	mp_tw_permutation	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	3	0.1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	1	0	1	360	1	0	0			0.3333333333333333	5.780084482482316	5.653535369056234	5.766235072246616	0.1709481000143569	3.6359243392944336								False
