run_label	subsample_fraction	dataset_id	component_family	ablation_id	variant_label	n_rows	n_repeats	mean_label_ari	label_ari_ci95_low	label_ari_ci95_high	label_ari_sd	mean_label_nmi	mean_batch_ari	batch_ari_ci95_low	batch_ari_ci95_high	batch_ari_sd	mean_batch_nmi	mean_signal_pcs	mean_embedding_pcs	mean_cluster_n	no_call_rate	mean_runtime_seconds
subsample80_pilot10	0.8	baron_pancreas	batch_residualization	batch_residualized	batch residualized fit	20	20	0.6167489136180714	0.5730892341210415	0.6604085931151013	0.09961837880735987	0.6820517487613209	0.04802690308318657	0.03874696996671525	0.057306836199657894	0.02117404211742996	0.06821062557564343	15.0	19.5	6.75	0.0	21.689225689999876
subsample80_pilot10	0.8	baron_pancreas	biwhitening	whiten_zscore	z-score whitening	20	20	0.6583540702543067	0.6242911051606943	0.6924170353479191	0.07772153618828563	0.7125343501558568	0.08491565585116767	0.06940580553634462	0.10042550616599072	0.035388856759990664	0.12666775940051403	50.0	50.0	10.5	0.0	20.535127230004584
subsample80_pilot10	0.8	baron_pancreas	hvg_selection	hvg_rule_dispersion	dispersion HVG	20	20	0.5699217781873133	0.547605581083012	0.5922379752916145	0.050918911963777125	0.6729852589625849	0.0691377604317337	0.06503308468755414	0.07324243617591325	0.009365646928142877	0.08156707819651823	14.7	18.05	6.2	0.0	18.288048050001088
subsample80_pilot10	0.8	baron_pancreas	no_call_contract	force_min_embedding_pcs_10	force minimum 10 embedding PCs	20	20	0.5616881225012696	0.546995891564331	0.5763803534382083	0.03352329297563278	0.6667042469257177	0.07212722912893021	0.06497111878916183	0.0792833394686986	0.016328111402256373	0.08699321775541752	14.85	17.9	6.35	0.0	19.49499978499953
subsample80_pilot10	0.8	baron_pancreas	rare_state_guard	rare_state_guard_off	rare-state guard off	20	20	0.5630074429074832	0.5435331884893737	0.5824816973255926	0.04443444560205954	0.6649757841916343	0.06845363367196225	0.06275781170417359	0.07414945563975091	0.012996168477257214	0.08385477232018028	14.85	17.25	6.95	0.0	13.776195259999804
subsample80_pilot10	0.8	baron_pancreas	reference	default_v3_3	default RMTGuard v3.3	20	20	0.5719286770530546	0.5495937021638073	0.5942636519423019	0.05096175727357943	0.6685245519758747	0.06832570104317073	0.06258546347386912	0.07406593861247235	0.01309751164485365	0.08024855490694752	14.85	17.5	6.1	0.0	19.832033880002562
subsample80_pilot10	0.8	kang_ifnb_pbmc	adaptive_embedding	embedding_strict_signal	strict signal embedding	20	20	0.5626752784939912	0.5047559601897723	0.6205945967982102	0.13215462544763407	0.6267482853789847	0.013763237759059585	0.010938940263147692	0.01658753525497148	0.006444205295450436	0.025949711614122163	5.0	5.0	4.8	0.0	12.459651864998886
subsample80_pilot10	0.8	kang_ifnb_pbmc	batch_residualization	batch_residualized	batch residualized fit	20	20	0.605859629380735	0.5490220564040238	0.6626972023574462	0.12968640495105244	0.6297659618159553	0.010340508310614166	0.008040948515559003	0.01264006810566933	0.0052469102245600325	0.02403319431905985	5.75	7.3	4.85	0.0	16.086452900000587
subsample80_pilot10	0.8	kang_ifnb_pbmc	biwhitening	whiten_zscore	z-score whitening	20	20	0.3910170781688864	0.3757384870407716	0.4062956692970012	0.034861192207030496	0.4930680885560112	0.02216227884408206	0.020642475823507665	0.023682081864656458	0.0034677376187896517	0.04371598940460324	50.0	50.0	10.3	0.0	26.257452895000462
subsample80_pilot10	0.8	kang_ifnb_pbmc	hvg_selection	hvg_rule_dispersion	dispersion HVG	20	20	0.6877053787705362	0.6361452237083691	0.7392655338327032	0.11764490984636262	0.6880997680039356	0.017921911032861563	0.015391816806053428	0.020452005259669698	0.005772921102676289	0.0328070656204331	5.0	6.6	5.05	0.0	13.118518940001376
subsample80_pilot10	0.8	kang_ifnb_pbmc	no_call_contract	force_min_embedding_pcs_10	force minimum 10 embedding PCs	20	20	0.6704806217480328	0.6270078558176129	0.7139533876784527	0.09919189774526106	0.6602833496426822	0.02077459006603074	0.018218917587151957	0.02333026254490952	0.005831283052039135	0.03402758923431047	5.0	10.0	5.35	0.0	16.49388412499975
subsample80_pilot10	0.8	kang_ifnb_pbmc	rare_state_guard	rare_state_guard_off	rare-state guard off	20	20	0.6257331801303067	0.5730357746676138	0.6784305855929995	0.120239776380051	0.6679121138346379	0.014593113617297968	0.011612304510638135	0.0175739227239578	0.006801318153512048	0.026166456728000276	5.0	6.5	3.6	0.0	11.983318899999722
subsample80_pilot10	0.8	kang_ifnb_pbmc	reference	default_v3_3	default RMTGuard v3.3	20	20	0.6292951734683343	0.5781914746806379	0.6803988722560307	0.11660341264383947	0.6567120609344393	0.017691754426921256	0.014160419261335103	0.021223089592507408	0.008057454573047055	0.030526895718615943	5.0	6.9	5.05	0.0	15.930787785001304
subsample80_pilot10	0.8	pbmc68k_zheng2017	adaptive_embedding	embedding_strict_signal	strict signal embedding	20	20	0.00155287943287724	-0.0014907642555621501	0.00459652312131663	0.006944687945549661	0.0033437641488078852						1.05	0.1	1.15	0.95	2.2988150350007346
subsample80_pilot10	0.8	pbmc68k_zheng2017	batch_residualization	batch_residualized	batch residualized fit	20	20	0.00136509386886416	-0.0013104901141095932	0.004040677851837913	0.0061048853728968904	0.00450295900605392						1.05	0.15	1.15	0.95	2.4773893200013846
subsample80_pilot10	0.8	pbmc68k_zheng2017	biwhitening	whiten_zscore	z-score whitening	20	20	0.08547443906944652	0.07905552352273933	0.09189335461615371	0.014646052555375006	0.18839261375920127						50.0	50.0	17.4	0.0	28.44504242500552
subsample80_pilot10	0.8	pbmc68k_zheng2017	hvg_selection	hvg_rule_dispersion	dispersion HVG	20	20	0.0013650938688641629	-0.001310490114109596	0.004040677851837922	0.006104885372896903	0.004502959006053924						1.05	0.15	1.15	0.95	2.190526884997962
subsample80_pilot10	0.8	pbmc68k_zheng2017	no_call_contract	force_min_embedding_pcs_10	force minimum 10 embedding PCs	20	20	0.08925310869132062	0.07243490883754365	0.1060713085450976	0.03837412054308402	0.16012089888012707						1.05	10.0	4.0	0.0	20.16972370999283
subsample80_pilot10	0.8	pbmc68k_zheng2017	rare_state_guard	rare_state_guard_off	rare-state guard off	20	20	0.001027875912915035	-0.0009867608763984336	0.0030425127022285035	0.004596800827425344	0.003593570703422015						1.05	0.15	1.1	0.95	2.257527470000059
subsample80_pilot10	0.8	pbmc68k_zheng2017	reference	default_v3_3	default RMTGuard v3.3	20	20	0.00155287943287724	-0.0014907642555621501	0.00459652312131663	0.006944687945549661	0.0033437641488078852						1.05	0.1	1.15	0.95	2.2213260499978786
