dataset_id	ablation_id	component_family	repeat	variant_label	n_cells	n_genes	label_key	batch_key	label_n	batch_n	analysis_status	no_call_reason	n_signal_pcs	n_embedding_pcs	accepted_embedding_pcs	cluster_n	selected_hvg_n	runtime_seconds	peak_memory_mb	label_ari	label_nmi	batch_ari	batch_nmi	config_whiten	config_hvg_rule	config_embedding_rule	config_rare_state_guard	config_min_embedding_pcs	batch_aware_fit	run_label	subsample_fraction	source_n_cells	subsample_n_cells
kang_ifnb_pbmc	force_min_embedding_pcs_10	no_call_contract	3	force minimum 10 embedding PCs	800	15701	cell	batch	8	8	ok		5	10	10	5	2000	17.423995399993146	299.0513134002685	0.5475577037457943	0.6043184658313014	0.0074469043040229	0.0169302161454495	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	10	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	batch_residualized	batch_residualization	3	batch residualized fit	800	15701	cell	batch	8	8	ok		6	7	7	5	2000	18.122795200004475	383.5670471191406	0.7480238678153288	0.7295496189273727	0.0120927821574346	0.0293358433359356	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	True	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	default_v3_3	reference	4	default RMTGuard v3.3	800	15701	cell	batch	8	8	ok		5	5	5	4	2000	15.113201799991655	299.6585178375244	0.6381746968491825	0.6665900108319857	0.0198953616952958	0.0307314768967307	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	embedding_strict_signal	adaptive_embedding	4	strict signal embedding	800	15701	cell	batch	8	8	ok		5	5	5	4	2000	13.999448200003826	299.04666805267334	0.6381746968491825	0.6665900108319857	0.0198953616952958	0.0307314768967307	biwhiten	spectral_stability	strict_signal	adaptive_binary_split	0	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	rare_state_guard_off	rare_state_guard	4	rare-state guard off	800	15701	cell	batch	8	8	ok		5	6	6	3	2000	13.52329889999237	299.04676246643066	0.6399109956030878	0.6795061068853792	0.0188576602639544	0.0294126938800373	biwhiten	spectral_stability	adaptive_near_edge	off	0	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	force_min_embedding_pcs_10	no_call_contract	4	force minimum 10 embedding PCs	800	15701	cell	batch	8	8	ok		5	10	10	5	2000	18.61493110000447	299.0514783859253	0.5782816091603032	0.6083683368291112	0.024923942434733	0.0346938367396549	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	10	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	batch_residualized	batch_residualization	4	batch residualized fit	800	15701	cell	batch	8	8	ok		6	8	8	6	2000	19.09201989999565	383.5665054321289	0.6916873158155823	0.6573400114462292	0.0177760739743796	0.0288001279043739	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	True	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	default_v3_3	reference	5	default RMTGuard v3.3	800	15701	cell	batch	8	8	ok		5	8	8	5	2000	16.33401920000324	299.6576557159424	0.6031085580690811	0.6242585139828891	0.0310555931009989	0.0427097607610837	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	embedding_strict_signal	adaptive_embedding	5	strict signal embedding	800	15701	cell	batch	8	8	ok		5	5	5	4	2000	12.34729089999746	299.0468616485596	0.383200144185263	0.535676365983503	0.0043372237863626	0.0171597449652073	biwhiten	spectral_stability	strict_signal	adaptive_binary_split	0	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	rare_state_guard_off	rare_state_guard	5	rare-state guard off	800	15701	cell	batch	8	8	ok		5	5	5	3	2000	10.153239500010386	299.0463066101074	0.3902929562099714	0.540763881806084	0.00371727708372	0.0142510176589671	biwhiten	spectral_stability	adaptive_near_edge	off	0	False	subsample80_pilot10	0.8	1000	800
