analysis_status	annotation_ari	annotation_nmi	centroid_tree_spearman	cluster_n	dataset_id	lineage_order_spearman_abs	method	method_label	n_cells	n_embedding_pcs	n_reference_labels	n_signal_pcs	neighbor_same_lineage_rate	neighbor_tree_distance	no_call_reason	peak_memory_mb	reference_edge_recall	repeat	runtime_seconds	seed	selected_hvg_n
ok	0.23814683873647632	0.4643818876916744	0.24425297606625548	4	paul15_hematopoiesis	0.4579948724090128	rmtguard_strict_signal	RMTGuard strict	960	14	19	14	0.74375	1.1379166666666667		0.0	0.6111111111111112	5	19.360777400001098	20261941	2000
ok	0.21877963931979458	0.42624068078571675	0.25729349215972647	3	paul15_hematopoiesis	0.4011705665893883	fixed_pcs_30	Fixed 30 PCs	960	30	19	30	0.7035416666666666	1.2953472222222222		54.09653091430664	0.6111111111111112	5	14.223271200000454	20262950	3451
ok	0.08862159960159367	0.210494321809833	0.2349135565269694	5	paul15_hematopoiesis	0.3981612086868164	fixed_pcs_50	Fixed 50 PCs	960	50	19	50	0.6809722222222222	1.4019444444444444		55.81806182861328	0.6111111111111112	5	19.72762309999962	20263959	3451
ok	0.27948225657721365	0.48102214968305346	0.22123416788713252	5	paul15_hematopoiesis	0.47774784312769963	rmtguard	RMTGuard	960	14	19	14	0.7413194444444445	1.1446527777777777		0.0	0.5555555555555556	6	19.01773619999949	20261033	2000
ok	0.27948225657721365	0.48102214968305346	0.22123416788713252	5	paul15_hematopoiesis	0.47774784312769963	rmtguard_strict_signal	RMTGuard strict	960	14	19	14	0.7413194444444445	1.1446527777777777		0.0	0.5555555555555556	6	17.654161599999497	20262042	2000
ok	0.15885554000803695	0.39684887659017143	0.22609178134688318	5	paul15_hematopoiesis	0.4153364390087136	fixed_pcs_30	Fixed 30 PCs	960	30	19	30	0.7014583333333334	1.287013888888889		54.09651565551758	0.6111111111111112	6	14.423650099997758	20263051	3451
ok	0.12572499141619278	0.26443839406905323	0.22220884251194895	5	paul15_hematopoiesis	0.4184692607595151	fixed_pcs_50	Fixed 50 PCs	960	50	19	50	0.6758333333333333	1.44125		55.81806182861328	0.6111111111111112	6	19.493330700002844	20264060	3451
ok	0.27018770810199266	0.4777704660361404	0.22057589883081988	7	paul15_hematopoiesis	0.4707212803625452	rmtguard	RMTGuard	960	15	19	14	0.7366666666666667	1.1580555555555556		0.0	0.6111111111111112	7	18.03597969999828	20261134	2000
ok	0.2619572816913758	0.4611704638856734	0.22843997133229296	6	paul15_hematopoiesis	0.4736081949970557	rmtguard_strict_signal	RMTGuard strict	960	14	19	14	0.7400694444444444	1.1488888888888888		0.0	0.5555555555555556	7	16.346406299999217	20262143	2000
ok	0.1453860008079745	0.34716679311080767	0.24078100078581477	5	paul15_hematopoiesis	0.41586084839090787	fixed_pcs_30	Fixed 30 PCs	960	30	19	30	0.7042361111111111	1.2966666666666666		54.096500396728516	0.6666666666666666	7	15.646381200000178	20263152	3451
ok	0.09463257408117451	0.23513752606635882	0.23146340232021861	6	paul15_hematopoiesis	0.4136787434274332	fixed_pcs_50	Fixed 50 PCs	960	50	19	50	0.6726388888888889	1.4546527777777778		55.81806182861328	0.6666666666666666	7	18.562791899999866	20264161	3451
ok	0.2977031195290269	0.533067442085793	0.22048740225418853	6	paul15_hematopoiesis	0.47500835571288286	rmtguard	RMTGuard	960	14	19	14	0.7407638888888889	1.1296527777777778		0.0	0.6111111111111112	8	17.961073499998747	20261235	2000
ok	0.2977031195290269	0.533067442085793	0.22048740225418853	6	paul15_hematopoiesis	0.47500835571288286	rmtguard_strict_signal	RMTGuard strict	960	14	19	14	0.7407638888888889	1.1296527777777778		0.0	0.6111111111111112	8	16.313188100000843	20262244	2000
ok	0.20659771247417613	0.4117218225727404	0.23812852805061777	3	paul15_hematopoiesis	0.4055008744298345	fixed_pcs_30	Fixed 30 PCs	960	30	19	30	0.7035416666666666	1.2671527777777778		54.09647750854492	0.6666666666666666	8	14.000963200000115	20263253	3451
ok	0.09974659621427272	0.221023025712176	0.23070572615042975	5	paul15_hematopoiesis	0.39457516084880173	fixed_pcs_50	Fixed 50 PCs	960	50	19	50	0.6722916666666666	1.4202083333333333		55.81806182861328	0.6666666666666666	8	18.466315100002248	20264262	3451
ok	0.25405231929284644	0.4572389827016353	0.25929375724796916	5	paul15_hematopoiesis	0.5025160786751184	rmtguard	RMTGuard	960	14	19	14	0.7349305555555555	1.164236111111111		0.0	0.6111111111111112	9	18.12376260000019	20261336	2000
ok	0.25405231929284644	0.4572389827016353	0.25929375724796916	5	paul15_hematopoiesis	0.5025160786751184	rmtguard_strict_signal	RMTGuard strict	960	14	19	14	0.7349305555555555	1.164236111111111		0.0	0.6111111111111112	9	16.322128499999963	20262345	2000
ok	0.15986825202836266	0.4063380311350857	0.2672584491447902	6	paul15_hematopoiesis	0.44396457202070977	fixed_pcs_30	Fixed 30 PCs	960	30	19	30	0.6990972222222223	1.2890277777777779		54.09646224975586	0.6111111111111112	9	14.375038400001358	20263354	3451
ok	0.1227498359444087	0.2532996128523692	0.2606551497898459	4	paul15_hematopoiesis	0.4400722865088142	fixed_pcs_50	Fixed 50 PCs	960	50	19	50	0.6738194444444444	1.4284027777777777		55.81806182861328	0.6111111111111112	9	19.068779900000663	20264363	3451
