calibration_type	null_model	repeat	n_cells	n_genes	false_signal_pc_floor	false_signal	false_call	n_signal_pcs	accepted_embedding_pcs	cluster_n	analysis_status	no_call_reason	rare_state_guard	rare_state_guard_selected	rare_state_guard_reason	rare_state_binary_fraction	rare_state_binary_separation	rare_state_binary_silhouette	selected_hvg_n	mp_edge	selected_edge	bulk_ks	null_false_positive_rate	runtime_seconds	peak_memory_mb
realistic_null	library_stratified_gene_null	14	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.321298966649927	6.51222569555273	0.0189620414105379		0.1230801000201609	6.620820045471191
realistic_null	library_multinomial_null	15	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.044568666669633	6.227137111738326	0.0143854779780736		0.2191646000137552	6.621029853820801
realistic_null	gene_permutation_null	15	220	500	1	0	0	0	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					300	4.807838331827506	4.982094247192528	0.0123887121246184		0.1424338999786414	6.620705604553223
realistic_null	library_stratified_gene_null	15	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.279050218939306	6.4687008785969775	0.0152896446339063		0.1507022000150755	6.620884895324707
realistic_null	library_multinomial_null	16	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.147198499337871	6.3328667468906055	0.0180527464761525		0.2202201000181958	6.621064186096191
realistic_null	gene_permutation_null	16	220	500	1	0	0	0	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					300	4.821882050370578	4.996646968089872	0.0126740350191341		0.1482133000099565	6.620705604553223
realistic_null	library_stratified_gene_null	16	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.222479523666953	6.410421538019745	0.0110936494341893		0.155477599997539	6.620820045471191
realistic_null	library_multinomial_null	17	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.080691146906899	6.264350625167969	0.0140581658824706		0.1447611999756191	6.620965003967285
realistic_null	gene_permutation_null	17	220	500	1	0	0	0	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.54387060402182	6.741519823807296	0.0178454885588958		0.1245292999956291	6.6208696365356445
realistic_null	library_stratified_gene_null	17	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.383220341253522	6.576017325868736	0.0199299287297486		0.1246289999980945	6.620785713195801
realistic_null	library_multinomial_null	18	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.155903434326037	6.341834603276947	0.0163679957964678		0.1356482999981381	6.620881080627441
realistic_null	gene_permutation_null	18	220	500	1	0	0	0	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.492402750014537	6.688497449271702	0.0122638484676025		0.1454495000070892	6.620804786682129
realistic_null	library_stratified_gene_null	18	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.357603759123665	6.549627027726153	0.0147159095103359		0.1389307999925222	6.620779037475586
realistic_null	library_multinomial_null	19	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.197369633563841	6.384553235886796	0.0197832972113556		0.1415785000135656	6.620831489562988
realistic_null	gene_permutation_null	19	220	500	1	0	0	0	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.487906483470692	6.683865378762877	0.0121259694379998		0.1288534999766852	6.620908737182617
realistic_null	library_stratified_gene_null	19	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.296513783460593	6.48669190768949	0.01348664233661		0.1365704000054393	6.620785713195801
realistic_null	library_multinomial_null	20	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.079992941203818	6.2636313310570015	0.0109073457188308		0.2157209000142756	6.621029853820801
realistic_null	gene_permutation_null	20	220	500	1	0	0	0	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.564888213678682	6.763172243411024	0.0164970045140161		0.12688930000877	6.620859146118164
realistic_null	library_stratified_gene_null	20	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.347103028295949	6.538809135789842	0.0182990223007861		0.1289595999987796	6.621033668518066
realistic_null	library_multinomial_null	21	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.139507619379849	6.324943573766177	0.0148321990831161		0.2202918999828398	6.620816230773926
realistic_null	gene_permutation_null	21	220	500	1	0	0	0	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					150	3.3843133296271923	3.538715330112051	0.0105072574042694		0.2063065000111237	6.620705604553223
realistic_null	library_stratified_gene_null	21	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.361882728631586	6.554035238020743	0.0181025123837984		0.2223396000044886	6.6208696365356445
realistic_null	library_multinomial_null	22	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.135416550141968	6.32072893902832	0.0130366911709098		0.1229584000247996	6.620915412902832
realistic_null	gene_permutation_null	22	220	500	1	0	0	0	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					300	4.899767440258101	5.077355246138705	0.0160941137324783		0.1464616000012029	6.621082305908203
realistic_null	library_stratified_gene_null	22	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.292041576605361	6.482084623561319	0.0134516697396441		0.141758599987952	6.620770454406738
realistic_null	library_multinomial_null	23	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.139454602413576	6.324888955490426	0.0161129976439583		0.1210017999983392	6.620930671691895
realistic_null	gene_permutation_null	23	220	500	1	0	0	0	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					150	3.419671036694034	3.5756861563472286	0.0130088287213105		0.1584546999947633	6.620634078979492
realistic_null	library_stratified_gene_null	23	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.24953386317028	6.438293019153493	0.0118445176429543		0.1248494000174105	6.620813369750977
realistic_null	library_multinomial_null	24	220	500	1	0	0	1	0	1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	adaptive_binary_split	False					500	6.113461162005587	6.2981104165487	0.0146004145596373		0.2107694000005722	6.62095832824707
