calibration_type	prevalence	effect_size	repeat	n_cells	n_genes	ari	nmi	rare_precision	rare_recall	rare_f1	power_pass	rare_ari_floor	rare_f1_floor	fixed_ari	fixed_nmi	fixed_rare_f1	n_signal_pcs	accepted_embedding_pcs	cluster_n	analysis_status	no_call_reason	rare_state_guard	rare_state_guard_selected	rare_state_guard_reason	rare_state_binary_fraction	rare_state_binary_separation	rare_state_binary_silhouette	selected_hvg_n	mp_edge	selected_edge	bulk_ks	null_false_positive_rate	runtime_seconds	peak_memory_mb
rare_state_power	0.08	2.5	0	220	500	0.2329195411137197	0.4709471399102293	1.0	1.0	1.0	1	0.8	0.7	0.0220068826452214	0.0146404711354812	0.201834862385321	2	3	3	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0818181818181818	3.40579277344468	0.5179402051213274	500	6.216360612716908	6.404117813211297	0.0150807899986283		1.991268300000229	10.279232025146484
rare_state_power	0.08	2.5	1	220	500	0.148372106373724	0.3691467830352947	1.0	1.0	1.0	1	0.8	0.7	0.0006814938199288	0.0019891172700933	0.1612903225806451	2	2	4	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0818181818181818	3.447026535538835	0.6562317568305164	500	6.073861731967642	6.257314936508463	0.0124388199773559		1.943689000006998	9.965296745300291
rare_state_power	0.08	2.5	2	220	500	0.1827186287710078	0.3875787374844757	1.0	1.0	1.0	1	0.8	0.7	0.0254455532958678	0.0116371248031761	0.196078431372549	2	2	5	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0818181818181818	3.420436469314576	0.6496705981110891	500	6.28108689423623	6.470799069059429	0.0262339937195519		1.75692679999338	9.97243881225586
rare_state_power	0.08	2.5	3	220	500	0.1482124030683018	0.369639604519808	1.0	1.0	1.0	1	0.8	0.7	-0.0030129413198754	9.50265212254047e-05	0.1476510067114094	2	2	4	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0818181818181818	3.4067899590243136	0.6507104346121092	500	6.17040855398532	6.356777831474286	0.0150521315783639		1.8556051000050504	9.99762725830078
rare_state_power	0.08	4.0	0	220	500	0.155214413383014	0.3757047614160307	1.0	1.0	1.0	1	0.8	0.7	0.0483774515342276	0.0510790749759292	0.2568807339449541	2	4	4	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0818181818181818	3.5354507738452168	0.4484205884818656	500	6.135978349202642	6.321307706509175	0.0122270865753478		2.911081700003706	10.403358459472656
rare_state_power	0.08	4.0	1	220	500	0.1759835565701633	0.3918289780177056	1.0	1.0	1.0	1	0.8	0.7	1.0	1.0	1.0	2	4	4	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0818181818181818	3.5104045044818943	0.440573237002863	500	6.070339528598963	6.2536863495038775	0.0177964991994399		2.294695200005662	10.495020866394045
rare_state_power	0.08	4.0	2	220	500	0.2131213559517501	0.4307737582931149	1.0	1.0	1.0	1	0.8	0.7	0.0068708993863054	0.0080067424658745	0.1833333333333333	2	4	4	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0818181818181818	3.472106762098864	0.4359665648345333	500	6.228615220774436	6.416742555989988	0.0153922741347939		2.163192899999558	10.497300148010254
rare_state_power	0.08	4.0	3	220	500	0.2050658891596528	0.4224304538849828	1.0	1.0	1.0	1	0.8	0.7	-0.0218904543324212	0.0073538647548379	0.1739130434782608	2	4	4	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0818181818181818	3.452548074595644	0.429669866749975	500	6.051078703792135	6.233843776183692	0.01217220730713		2.221069899998838	10.469989776611328
rare_state_power	0.08	6.0	0	220	500	0.2330942907908974	0.4710352933884997	1.0	1.0	1.0	1	0.8	0.7	1.0	1.0	1.0	2	4	3	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0818181818181818	3.544977943030321	0.4443273674437356	500	6.02947824524301	6.211590903484352	0.0177717650732531		2.346851100010099	10.505125999450684
rare_state_power	0.08	6.0	1	220	500	0.158227903789662	0.3779848934271138	1.0	1.0	1.0	1	0.8	0.7	1.0	1.0	1.0	2	3	4	ok		adaptive_binary_split	True	accepted_rare_binary_split	0.0818181818181818	3.5030080752634243	0.53444313655247	500	6.139269554611976	6.324698318557282	0.0187660402978105		2.8574565000017174	10.184026718139648
