run_label	dataset_id	dataset_label	dataset_order	ablation_id	variant_label	variant_order	n_repeats	mean_label_ari	label_ari_ci95_low	label_ari_ci95_high	label_ari_delta_vs_default_mean	label_ari_delta_vs_default_ci95_low	label_ari_delta_vs_default_ci95_high	paired_n_label_delta	mean_batch_ari	batch_ari_ci95_low	batch_ari_ci95_high	batch_ari_delta_vs_default_mean	batch_ari_delta_vs_default_ci95_low	batch_ari_delta_vs_default_ci95_high	paired_n_batch_delta	no_call_rate	mean_cluster_n	interpretation
subsample80_pilot10	kang_ifnb_pbmc	Kang IFN-beta PBMC	1	rare_state_guard_off	Rare-state guard off	2	20	0.6257331801303067	0.5730357746676138	0.6784305855929995	-0.003561993338027561	-0.058906310618076295	0.05178232394202117	20	0.014593113617297968	0.011612304510638135	0.0175739227239578	-0.0030986408096232896	-0.006560164780382591	0.00036288316113601213	20	0.0	3.6	rare-state guard ablation
subsample80_pilot10	kang_ifnb_pbmc	Kang IFN-beta PBMC	1	batch_residualized	Batch residualized	3	20	0.605859629380735	0.5490220564040238	0.6626972023574462	-0.023435544087599153	-0.10980039404933066	0.06292930587413235	20	0.010340508310614166	0.008040948515559003	0.01264006810566933	-0.00735124611630709	-0.011970109647807684	-0.002732382584806497	20	0.0	4.85	lower batch ARI but no label ARI gain over default
subsample80_pilot10	kang_ifnb_pbmc	Kang IFN-beta PBMC	1	hvg_rule_dispersion	dispersion HVG	999	20	0.6877053787705362	0.6361452237083691	0.7392655338327032	0.05841020530220187	0.0011421940479278067	0.11567821655647592	20	0.017921911032861507	0.015391816806053372	0.020452005259669642	0.00023015660594025516	-0.0030633623986053124	0.0035236756104858225	20	0.0	5.05	component sensitivity check
subsample80_pilot10	kang_ifnb_pbmc	Kang IFN-beta PBMC	1	whiten_zscore	z-score whitening	999	20	0.39101707816888637	0.37573848704077156	0.40629566929700117	-0.23827809529944782	-0.2890190279062317	-0.18753716269266393	20	0.022162278844082003	0.020642475823507606	0.0236820818646564	0.00447052441716075	0.0009826342531928426	0.007958414581128658	20	0.0	10.3	component sensitivity check
subsample80_pilot10	pbmc68k_zheng2017	PBMC68k/Zheng 2017	2	default_v3_3	Default RMTGuard	-1	20	0.00155287943287724	-0.0014907642555621501	0.00459652312131663	0.0	0.0	0.0	20							0	0.95	1.15	reference diagnostic no-call stress context; not a positive discovery claim
subsample80_pilot10	pbmc68k_zheng2017	PBMC68k/Zheng 2017	2	embedding_strict_signal	Strict signal embedding	0	20	0.00155287943287724	-0.0014907642555621501	0.00459652312131663	0.0	0.0	0.0	20							0	0.95	1.15	diagnostic stress/no-call context; not a rescue
subsample80_pilot10	pbmc68k_zheng2017	PBMC68k/Zheng 2017	2	force_min_embedding_pcs_10	Forced min 10 PCs	1	20	0.08925310869132062	0.07243490883754365	0.1060713085450976	0.08770022925844338	0.071862500074802	0.10353795844208477	20							0	0.0	4.0	forced clustering weakly increases annotation ARI but removes the no-call guard; negative control only
subsample80_pilot10	pbmc68k_zheng2017	PBMC68k/Zheng 2017	2	rare_state_guard_off	Rare-state guard off	2	20	0.001027875912915035	-0.0009867608763984331	0.003042512702228503	-0.000525003519962205	-0.0015540104190881266	0.0005040033791637165	20							0	0.95	1.1	diagnostic stress/no-call context; not a rescue
subsample80_pilot10	pbmc68k_zheng2017	PBMC68k/Zheng 2017	2	batch_residualized	Batch residualized	3	20	0.00136509386886416	-0.0013104901141095936	0.004040677851837914	-0.00018778556401308002	-0.0005558452694787168	0.0001802741414525568	20							0	0.95	1.15	diagnostic stress/no-call context; not a rescue
subsample80_pilot10	pbmc68k_zheng2017	PBMC68k/Zheng 2017	2	hvg_rule_dispersion	dispersion HVG	999	20	0.00136509386886416	-0.0013104901141095936	0.004040677851837914	-0.00018778556401308002	-0.0005558452694787168	0.0001802741414525568	20							0	0.95	1.15	diagnostic stress/no-call context; not a rescue
subsample80_pilot10	pbmc68k_zheng2017	PBMC68k/Zheng 2017	2	whiten_zscore	z-score whitening	999	20	0.08547443906944648	0.07905552352273928	0.09189335461615367	0.08392155963656923	0.07685990096451109	0.09098321830862738	20							0	0.0	17.4	diagnostic stress/no-call context; not a rescue
subsample80_pilot10	pdac_gse263733	PDAC GSE263733	3	default_v3_3	Default RMTGuard	-1	20	0.5350805090955103	0.5050166225841416	0.565144395606879	0.0	0.0	0.0	20	0.053967457725146495	0.04890167674946272	0.05903323870083027	0.0	0.0	0.0	20	0.0	9.0	reference
subsample80_pilot10	pdac_gse263733	PDAC GSE263733	3	embedding_strict_signal	Strict signal embedding	0	20	0.5388383914382121	0.5123904496969355	0.5652863331794887	0.0037578823427017656	-0.013556045562557394	0.021071810247960926	20	0.05306319164773256	0.0484279643896485	0.05769841890581662	-0.0009042660774139403	-0.0034609296752640493	0.0016523975204361689	20	0.0	8.8	strict-signal embedding ablation
subsample80_pilot10	pdac_gse263733	PDAC GSE263733	3	force_min_embedding_pcs_10	Forced min 10 PCs	1	20	0.5137960855390494	0.4884239853232862	0.5391681857548127	-0.021284423556460964	-0.049152477259979066	0.006583630147057137	20	0.054010476568037355	0.04979453880759736	0.05822641432847735	4.3018842890860455e-05	-0.003713600755096417	0.003799638440878138	20	0.0	8.6	forced-PC sensitivity control; do not promote as default
subsample80_pilot10	pdac_gse263733	PDAC GSE263733	3	rare_state_guard_off	Rare-state guard off	2	20	0.5377012099882712	0.5128122650747186	0.5625901549018238	0.0026207008927608133	-0.01884202256960857	0.024083424355130195	20	0.05444292184834519	0.049513705585855106	0.059372138110835276	0.00047546412319871207	-0.0025640809429358135	0.003515009189333238	20	0.0	8.25	rare-state guard ablation
subsample80_pilot10	pdac_gse263733	PDAC GSE263733	3	batch_residualized	Batch residualized	3	20	0.5391754242030764	0.5159513541066448	0.562399494299508	0.004094915107566053	-0.03340860490828133	0.04159843512341343	20	0.03554182440911556	0.033635993480216494	0.03744765533801463	-0.01842563331603094	-0.023623318479895024	-0.01322794815216686	20	0.0	8.1	external batch-aware signal: lower batch ARI with similar label ARI
subsample80_pilot10	pdac_gse263733	PDAC GSE263733	3	hvg_rule_dispersion	dispersion HVG	999	20	0.5254903286038671	0.5027776573456557	0.5482029998620785	-0.009590180491643252	-0.038850225902235615	0.019669864918949106	20	0.04820797757625763	0.044892936839681596	0.051523018312833666	-0.005759480148888869	-0.01090066220641605	-0.0006182980913616888	20	0.0	8.7	component sensitivity check
subsample80_pilot10	pdac_gse263733	PDAC GSE263733	3	whiten_zscore	z-score whitening	999	20	0.4655362623757652	0.4472704362176987	0.48380208853383166	-0.0695442467197453	-0.10645270615551793	-0.032635787283972664	20	0.06158845985821952	0.058942356161508516	0.06423456355493053	0.007621002133073036	0.0007731584582981359	0.014468845807847935	20	0.0	11.15	component sensitivity check
